average_journey_time,average_pt_service_rate,average_intracity_journey_time,average_intercity_journey_time,pt_network_name,train_headway,bus_headway,demand_size,intra_ratio,random_seed,total_pt_cost
4934.02,1.0,,4934.02,basic,20,10,500,0,3,3084.831754632334
4974.936,1.0,,4974.936,basic,20,10,500,0,6,3084.831754632334
5041.026,1.0,,5041.026,basic,20,10,500,0,9,3084.831754632334
4472.538,0.954,2693.12,4917.3925,basic,20,10,500,20,3,3084.831754632334
4502.662,0.95,2687.2,4956.5275,basic,20,10,500,20,6,3084.831754632334
4592.952,0.96,2610.94,5088.455,basic,20,10,500,20,9,3084.831754632334
4062.214,0.902,2712.04,4962.33,basic,20,10,500,40,3,3084.831754632334
4064.558,0.926,2689.815,4981.053333333333,basic,20,10,500,40,6,3084.831754632334
4153.046,0.94,2688.685,5129.286666666667,basic,20,10,500,40,9,3084.831754632334
3644.69,0.876,2717.1366666666668,5036.02,basic,20,10,500,60,3,3084.831754632334
3591.726,0.884,2669.7233333333334,4974.73,basic,20,10,500,60,6,3084.831754632334
3676.446,0.888,2750.45,5065.44,basic,20,10,500,60,9,3084.831754632334
3171.72,0.822,2732.745,4927.62,basic,20,10,500,80,3,3084.831754632334
3160.746,0.842,2666.64,5137.17,basic,20,10,500,80,6,3084.831754632334
3191.21,0.846,2724.6925,5057.28,basic,20,10,500,80,9,3084.831754632334
4949.536666666667,1.0,,4949.536666666667,basic,20,10,600,0,3,3084.831754632334
4975.661666666667,1.0,,4975.661666666667,basic,20,10,600,0,6,3084.831754632334
5060.153333333334,1.0,,5060.153333333334,basic,20,10,600,0,9,3084.831754632334
4511.845,0.945,2741.0416666666665,4954.545833333334,basic,20,10,600,20,3,3084.831754632334
4499.115,0.9533333333333334,2658.0333333333333,4959.385416666667,basic,20,10,600,20,6,3084.831754632334
4589.638333333333,0.9766666666666668,2638.458333333333,5077.433333333333,basic,20,10,600,20,9,3084.831754632334
4090.038333333333,0.9083333333333332,2726.075,4999.347222222223,basic,20,10,600,40,3,3084.831754632334
4036.861666666666,0.9183333333333332,2673.633333333333,4945.680555555556,basic,20,10,600,40,6,3084.831754632334
4116.841666666666,0.9383333333333334,2726.020833333333,5044.055555555556,basic,20,10,600,40,9,3084.831754632334
3619.465,0.865,2733.0444444444443,4949.095833333334,basic,20,10,600,60,3,3084.831754632334
3591.025,0.8716666666666667,2669.0222222222224,4974.029166666666,basic,20,10,600,60,6,3084.831754632334
3617.33,0.885,2719.463888888889,4964.129166666667,basic,20,10,600,60,9,3084.831754632334
3168.471666666667,0.8133333333333334,2737.1604166666666,4893.716666666666,basic,20,10,600,80,3,3084.831754632334
